Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Cluster,Cluster_Selected,PCA1,PCA2
19.0,73.0,1.79,177.0,125.0,61.0,0.81,506.0,27.7,1.6,3.0,1.0,22.78,False,True,False,False,1,1,-2.4071706418270873,0.1792878943873603
59.0,65.5,1.52,161.0,162.0,61.0,1.4,1021.0,31.2,2.1,3.0,2.0,28.35,False,False,False,True,1,1,-0.4166793540326349,-1.4746325442293646
21.0,50.3,1.52,171.0,154.0,67.0,1.08,832.0,32.2,2.6,3.0,1.0,21.77,False,False,False,False,1,1,-1.6736844417754475,-1.3342964922643343
46.0,61.0,1.71,181.0,153.0,61.0,1.67,1150.0,17.8,2.7,4.0,3.0,20.86,False,False,False,False,2,2,2.3775314606380817,-1.1581214752979558
35.0,44.60000000000001,1.62,196.0,157.0,65.0,0.5599999999999999,440.0,32.4,2.0,2.0,1.0,16.99,False,True,False,False,1,1,-3.6756733369847523,-0.9678540776267882
43.0,58.2,1.61,179.0,124.0,54.0,1.04,580.0,26.4,2.6,3.0,2.0,22.45,False,False,True,False,1,1,-1.067589189693539,-0.5239995527328742
51.0,44.8,1.63,198.0,137.0,69.0,1.08,666.0,33.8,2.1,4.0,2.0,16.86,False,False,False,True,1,1,-1.276172989494269,-1.8960116975598449
27.0,87.5,1.63,183.0,135.0,74.0,1.75,1299.0,12.9,3.5,5.0,3.0,32.93,True,False,True,False,2,2,4.00404353438818,0.34707144994602
53.0,51.8,1.74,179.0,127.0,61.0,1.23,773.0,21.3,3.7,3.0,2.0,17.11,True,False,True,False,0,0,0.3247903039477411,0.05943198689604286
31.0,64.4,1.7,160.0,144.0,70.0,1.97,1418.0,17.3,2.7,5.0,3.0,22.28,False,False,True,False,2,2,3.6524884653818166,-1.6737170456708461
48.0,67.1,1.61,160.0,151.0,74.0,0.62,421.0,33.4,1.5,2.0,1.0,25.89,False,False,False,False,1,1,-3.7756245607025805,-0.5802665143590225
32.0,85.9,1.6,176.0,145.0,60.0,1.99,1587.0,14.5,3.5,5.0,3.0,33.55,True,True,False,False,2,2,4.6535184406803145,-0.08341617230518505
25.0,65.4,1.77,160.0,141.0,58.0,0.89,627.0,27.6,2.6,3.0,1.0,20.88,False,False,False,False,1,1,-1.6888911449154234,0.18106206446816234
31.0,61.1,1.76,189.0,150.0,67.0,1.81,1358.0,18.6,2.7,4.0,3.0,19.72,False,False,False,True,2,2,2.8513782845004796,-1.1679648771437192
40.0,106.5,1.65,162.0,162.0,74.0,1.32,1176.0,21.0,3.6,4.0,2.0,39.12,True,True,False,False,0,0,1.9408864630373985,1.6570534467569278
57.0,64.0,1.52,170.0,129.0,52.0,1.73,1004.0,15.2,2.7,5.0,3.0,27.7,False,False,True,False,2,2,2.7381897188906676,-1.426235125758439
38.0,61.4,1.54,183.0,131.0,69.0,1.47,963.0,30.6,2.7,3.0,2.0,25.89,False,True,False,False,1,1,-0.16754598268853235,-0.959324915723815
33.0,40.5,1.63,181.0,147.0,66.0,1.07,786.0,31.9,1.5,4.0,2.0,15.24,False,False,False,True,1,1,-1.261147006400952,-2.681279666958841
35.0,70.1,1.79,185.0,125.0,63.0,1.08,743.0,28.0,2.3,3.0,2.0,21.88,True,False,False,False,1,1,-0.8259608015514965,0.07011088561128404
41.0,94.1,1.62,172.0,139.0,50.0,1.13,777.0,23.4,3.1,4.0,2.0,35.86,True,False,False,False,0,0,0.5685412236977756,1.205400701071496
43.0,55.5,1.82,160.0,124.0,66.0,1.08,663.0,20.1,2.0,3.0,1.0,16.76,True,False,True,False,1,1,-1.287285752245086,-0.4990704823909371
42.0,53.7,1.72,183.0,142.0,74.0,1.37,875.0,29.8,1.6,3.0,1.0,18.15,False,False,False,False,1,1,-1.4674664904137247,-1.4611222185780104
58.0,66.1,1.75,169.0,128.0,57.0,0.63,363.0,25.2,1.7999999999999998,2.0,1.0,21.58,False,False,False,False,1,1,-3.138020846858458,0.27442904901603904
46.0,103.9,1.77,194.0,148.0,54.0,1.18,864.0,20.9,2.9,2.0,1.0,33.16,True,False,False,True,0,0,-0.5040119438877725,2.509436672919026
32.0,61.7,1.58,183.0,135.0,54.0,1.87,1262.0,16.6,2.7,5.0,3.0,24.72,False,True,False,False,2,2,3.257389016251094,-1.5809980891893813
18.0,52.3,1.74,187.0,165.0,58.0,1.2,990.0,29.4,2.2,2.0,1.0,17.27,False,False,False,False,1,1,-1.5555294481868895,-0.7749485169746896
42.0,59.5,1.74,195.0,141.0,52.0,1.78,1129.0,16.4,2.7,5.0,3.0,19.65,False,False,False,True,2,2,3.0155821057525416,-1.198770865582452
24.0,72.9,1.76,175.0,127.0,68.0,0.86,546.0,30.8,1.5,3.0,1.0,23.53,False,False,False,True,1,1,-2.5593243215860615,-0.12079520505725647
26.0,76.7,1.63,199.0,139.0,72.0,1.08,751.0,25.6,1.7,2.0,1.0,28.87,False,False,True,False,1,1,-1.9801014729813988,0.22710641530408904
41.0,72.1,1.83,175.0,133.0,58.0,1.13,744.0,21.4,2.8,3.0,2.0,21.53,True,False,False,True,0,0,-0.040998207757072025,0.591562433091864
18.0,54.8,1.68,176.0,158.0,71.0,1.27,1003.0,32.0,2.2,4.0,2.0,19.42,False,False,True,False,1,1,-0.1766793205073689,-1.7101494131701296
25.0,105.0,1.88,174.0,156.0,67.0,1.34,1150.0,21.4,2.3,3.0,2.0,29.71,True,False,False,False,0,0,0.9375891037510256,1.3675810455188202
41.0,55.0,1.55,175.0,169.0,65.0,1.45,1103.0,31.4,2.0,4.0,2.0,22.89,False,False,True,False,1,1,0.09402997568003767,-2.257420336964272
28.0,81.6,1.66,174.0,153.0,50.0,1.09,917.0,20.5,3.5,4.0,2.0,29.61,True,False,False,True,0,0,1.0561196062532234,0.8987771209155152
34.0,75.6,1.6,193.0,130.0,51.0,0.64,416.0,29.1,2.7,2.0,1.0,29.53,False,True,False,False,1,1,-2.832181703950107,1.209139646483668
52.0,61.5,1.69,160.0,152.0,63.0,1.8,1231.0,15.5,2.7,4.0,3.0,21.53,False,False,False,False,2,2,2.8019987354854456,-1.4129928713781235
52.0,74.0,1.63,174.0,150.0,50.0,1.26,936.0,25.7,3.7,3.0,2.0,27.85,True,False,False,False,0,0,0.5094888383962008,0.6409890279700164
50.0,56.4,1.59,185.0,163.0,74.0,1.26,924.0,34.3,2.6,3.0,1.0,22.31,False,True,False,False,1,1,-1.373511937942837,-1.0490967929881048
22.0,102.6,1.84,163.0,153.0,65.0,1.25,1052.0,20.5,2.7,3.0,2.0,30.3,True,False,True,False,0,0,0.8829377041949924,1.5118243865210057
59.0,54.6,1.57,164.0,169.0,64.0,0.58,441.0,29.2,2.3,3.0,1.0,22.15,False,False,False,False,1,1,-2.7978315805317484,-0.8617287635574348
58.0,103.5,1.66,172.0,168.0,61.0,1.33,1106.0,24.6,3.1,3.0,1.0,37.56,True,False,False,False,0,0,0.3197025955000441,1.7146319982752802
45.0,59.4,1.51,169.0,142.0,65.0,1.15,735.0,33.1,1.9,4.0,2.0,26.05,False,False,True,False,1,1,-1.040372543602679,-1.8097560464578561
26.0,77.7,1.62,177.0,126.0,73.0,1.16,804.0,29.6,3.0,3.0,2.0,29.61,True,False,False,True,0,0,-0.4259748281871615,0.3967632516819146
25.0,41.2,1.62,193.0,144.0,64.0,1.49,1073.0,28.9,2.1,4.0,2.0,15.7,False,False,False,True,1,1,0.19963405902819445,-2.422400896989075
29.0,58.6,1.61,198.0,122.0,72.0,1.2,805.0,23.4,2.0,3.0,2.0,22.61,True,False,False,True,1,1,-0.611878599608095,-0.9443265438333522
51.0,109.3,1.78,182.0,157.0,64.0,0.54,420.0,28.7,3.3,3.0,1.0,34.5,True,False,True,False,0,0,-1.843011351876617,2.99869500178953
50.0,69.6,1.96,166.0,139.0,68.0,0.97,667.0,25.6,2.0,3.0,1.0,18.12,True,False,True,False,1,1,-1.5783639577968134,0.36162263991840926
40.0,56.2,1.79,198.0,153.0,57.0,1.79,1369.0,17.6,2.7,5.0,3.0,17.54,False,False,False,True,2,2,3.3359574564484884,-1.4173550354163815
41.0,71.7,1.96,162.0,168.0,51.0,0.51,424.0,27.3,2.5,2.0,1.0,18.66,True,False,False,True,0,0,-2.7584330637682224,1.2532425757238586
54.0,86.0,1.93,171.0,163.0,51.0,1.74,1404.0,12.9,3.5,5.0,3.0,23.09,True,False,True,False,2,2,4.3286477979576805,0.6096062282253751
52.0,79.4,1.59,166.0,163.0,59.0,1.39,1020.0,26.6,1.5,3.0,2.0,31.41,False,False,True,False,1,1,-0.24839718551729836,-0.936088376617401
57.0,78.4,1.62,185.0,149.0,52.0,1.01,677.0,31.7,2.0,4.0,2.0,29.87,False,False,True,False,1,1,-0.9361767565913776,-0.3366205618824534
39.0,55.4,1.6,192.0,136.0,72.0,1.44,979.0,26.3,1.6,3.0,2.0,21.64,False,True,False,False,1,1,-0.43628343064445485,-1.7752031429096204
44.0,61.7,1.55,196.0,129.0,66.0,1.41,819.0,33.1,2.6,4.0,2.0,25.68,False,False,True,False,1,1,-0.23526090802372965,-1.0544240707175687
52.0,85.5,1.82,174.0,154.0,57.0,1.78,1357.0,14.9,3.5,4.0,3.0,25.81,True,False,False,True,2,2,3.6559803715798815,0.5916981622036512
18.0,87.6,1.93,161.0,139.0,72.0,1.72,1315.0,11.9,3.5,4.0,3.0,23.52,True,True,False,False,2,2,3.768419525184281,0.9132364562050295
52.0,82.4,1.72,166.0,137.0,53.0,1.01,685.0,24.4,2.7,4.0,2.0,27.85,True,False,True,False,0,0,-0.05687815269380822,0.5210074126480793
54.0,67.0,1.68,191.0,164.0,63.0,0.55,446.0,20.5,2.8,3.0,1.0,23.74,True,False,False,True,1,1,-1.8626969138071916,0.7332975763926235
31.0,42.3,1.6,163.0,163.0,70.0,1.09,888.0,25.1,1.9,3.0,2.0,16.52,False,False,False,False,1,1,-0.8608913973231023,-2.317494461524302
20.0,82.7,1.99,179.0,146.0,59.0,1.69,1357.0,14.6,3.5,5.0,3.0,20.88,True,True,False,False,2,2,4.080037426913783,0.7314659622028379
18.0,92.4,1.74,195.0,168.0,50.0,1.41,1303.0,21.3,3.1,2.0,1.0,30.52,True,False,False,True,0,0,0.49216047354439507,1.7133534603259502
22.0,63.2,1.54,191.0,155.0,53.0,1.02,790.0,29.5,2.4,4.0,2.0,26.65,False,False,False,False,1,1,-0.5418552107988293,-0.9133267322241061
43.0,82.7,1.85,187.0,142.0,50.0,1.22,858.0,28.2,3.1,4.0,2.0,24.16,True,False,False,True,0,0,0.4991430519719019,0.9422759286308351
31.0,86.6,1.76,172.0,151.0,66.0,1.29,1071.0,28.9,3.3,3.0,2.0,27.96,True,False,True,False,0,0,0.5177103998933372,0.9439331696423319
44.0,98.0,1.83,194.0,130.0,56.0,1.28,824.0,25.7,3.5,4.0,2.0,29.26,True,False,False,False,0,0,0.956607021227837,1.972844467268731
32.0,78.6,1.62,195.0,125.0,69.0,1.28,880.0,29.6,3.1,3.0,1.0,29.95,True,False,False,True,0,0,-0.7063673982435772,0.833898594472997
32.0,59.0,1.66,184.0,160.0,64.0,0.51,408.00000000000006,31.0,1.7999999999999998,2.0,1.0,21.41,False,False,False,False,1,1,-3.6380363851801136,-0.35548439911868257
43.0,57.3,1.79,175.0,166.0,62.0,1.98,1479.0,17.8,2.7,4.0,3.0,17.88,False,False,False,True,2,2,3.314230727503698,-1.5716487896962472
59.0,122.3,1.89,178.0,153.0,51.0,0.66,500.0,20.1,3.1,3.0,1.0,34.24,True,False,False,True,0,0,-0.9476253023260153,3.7060627946655402
30.0,85.3,1.95,160.0,155.0,68.0,1.61,1373.0,10.399999999999999,3.5,5.0,3.0,22.43,True,False,False,True,2,2,4.270931819696629,0.6324631299663152
49.0,45.2,1.74,164.0,156.0,73.0,1.24,870.0,30.8,2.1,3.0,2.0,14.93,False,False,True,False,1,1,-0.9078685557433316,-1.8878093489522134
56.0,55.6,1.92,181.0,136.0,62.0,0.68,458.0,29.4,3.2,3.0,1.0,15.08,True,False,True,False,0,0,-2.085511378473752,0.8125141101070795
49.0,82.8,1.95,183.0,159.0,73.0,1.91,1503.0,14.3,3.5,5.0,3.0,21.78,True,False,False,True,2,2,4.560673030503885,0.36536187822438915
47.0,58.5,1.79,195.0,131.0,71.0,1.42,837.0,30.3,2.4,4.0,2.0,18.26,False,False,False,True,1,1,-0.017935106991199032,-0.8768330707668991
54.0,86.1,1.95,195.0,140.0,64.0,1.17,811.0,27.9,3.4,2.0,1.0,22.64,True,False,False,True,0,0,-0.912820188245764,2.253561583453109
40.0,63.5,1.61,163.0,159.0,59.0,1.31,1041.0,33.4,1.6,3.0,2.0,24.5,False,False,False,False,1,1,-0.8442417506089156,-1.7341797878087448
56.0,69.3,1.68,195.0,138.0,58.0,0.66,451.0,26.5,2.1,2.0,1.0,24.55,True,False,False,True,1,1,-2.8982429760346005,0.5815846304046566
32.0,70.5,1.62,177.0,122.0,58.0,1.24,756.0,28.4,1.7999999999999998,2.0,1.0,26.86,False,False,True,False,1,1,-1.9808958078018337,-0.21038630005377915
46.0,60.1,1.65,175.0,137.0,69.0,1.69,1042.0,17.3,2.7,4.0,3.0,22.08,False,False,False,False,2,2,2.193734647554458,-1.2917493484141351
53.0,94.1,1.95,177.0,138.0,50.0,0.89,608.0,28.6,3.5,3.0,1.0,24.75,True,True,False,False,0,0,-1.0657040505825497,2.5895300856773273
30.0,79.2,1.62,181.0,166.0,66.0,1.26,1046.0,28.0,2.5,4.0,2.0,30.18,False,False,False,False,1,1,0.4700704352603313,-0.33326442579852444
49.0,115.3,1.91,161.0,125.0,61.0,1.38,854.0,29.2,3.2,2.0,1.0,31.61,True,True,False,False,0,0,-0.5767364809289641,2.9421053572017293
24.0,62.9,1.79,180.0,135.0,59.0,1.42,958.0,27.3,2.3,4.0,2.0,19.63,False,False,False,False,1,1,0.39694047237933694,-0.8049896126079301
39.0,62.0,1.64,195.0,127.0,54.0,0.97,678.0,27.5,3.2,3.0,1.0,23.05,True,False,False,False,1,1,-1.3427444171974616,0.4764745788787055
45.0,88.5,1.78,198.0,167.0,67.0,1.53,1265.0,13.2,3.5,4.0,3.0,27.93,True,True,False,False,2,2,3.330273135195048,0.9608429555247374
19.0,73.9,1.77,198.0,137.0,64.0,1.28,877.0,32.5,2.6,3.0,2.0,23.59,False,False,True,False,1,1,-0.4665609794549128,0.20506475727232568
59.0,50.3,1.95,188.0,167.0,55.0,1.07,885.0,24.4,3.4,3.0,1.0,13.23,True,False,True,False,0,0,-0.47155625481318564,0.4623591905782659
23.0,83.1,1.8,185.0,162.0,56.0,0.7,624.0,29.3,3.1,3.0,1.0,25.65,True,False,True,False,0,0,-1.614387782716188,1.5758201045100966
45.0,65.1,1.78,180.0,158.0,66.0,1.46,1038.0,31.3,2.3,3.0,1.0,20.55,False,False,False,False,1,1,-0.7125237294218859,-0.5345600544664184
45.0,46.6,1.79,176.0,168.0,55.0,1.46,1214.0,22.9,2.4,3.0,2.0,14.54,True,False,False,True,1,1,0.6517414866170341,-1.4605704998048372
37.0,103.5,1.89,175.0,168.0,57.0,0.54,499.0,26.4,3.1,2.0,1.0,28.97,True,False,False,False,0,0,-2.062487652032166,2.937784844871574
47.0,61.9,1.54,190.0,131.0,61.0,1.95,1150.0,16.4,2.7,4.0,3.0,26.1,False,False,False,True,2,2,2.71481870907345,-1.3706581931756197
28.0,52.0,1.61,168.0,164.0,70.0,1.32,1082.0,27.9,2.0,3.0,2.0,20.06,False,False,False,True,1,1,-0.3129601914777088,-1.9707655030616833
45.0,113.4,1.71,190.0,129.0,63.0,0.8299999999999998,530.0,24.0,2.3,2.0,1.0,38.78,True,False,True,False,0,0,-1.9363266122498497,2.7528498202492613
42.0,62.9,1.98,173.0,126.0,61.0,1.42,886.0,28.5,3.4,4.0,2.0,16.04,True,False,False,True,0,0,0.7968564723777602,0.3603356621898258
56.0,40.4,1.8,196.0,165.0,72.0,1.23,913.0,30.0,2.1,4.0,2.0,12.47,False,False,False,False,1,1,-0.35306926509860725,-1.9512080302722141
50.0,67.1,1.75,161.0,120.0,59.0,0.67,362.0,31.8,2.7,3.0,1.0,21.91,False,False,False,False,1,1,-2.6621385051132145,0.5167732975768706
18.0,70.0,1.61,173.0,168.0,71.0,1.3,1201.0,23.9,2.5,2.0,1.0,27.01,True,False,True,False,1,1,-0.52884531737543,-0.19274751891048023
44.0,69.5,1.75,192.0,155.0,69.0,1.02,711.0,27.6,2.1,3.0,1.0,22.69,False,True,False,False,1,1,-1.6131755990936192,0.0188398578339124
30.0,107.9,1.66,194.0,140.0,64.0,1.08,832.0,29.5,2.8,3.0,2.0,39.16,True,False,False,False,0,0,-0.2675513600055994,1.926762496167259
58.0,109.0,1.91,198.0,156.0,56.0,1.49,1151.0,26.0,2.2,3.0,2.0,29.88,True,False,False,True,0,0,0.8094112284065731,1.579707117454763
20.0,101.0,1.91,179.0,143.0,58.0,1.36,1070.0,29.3,2.7,3.0,2.0,27.69,True,False,False,False,0,0,0.4853792957456151,1.5234060686146131
56.0,88.5,1.85,161.0,144.0,59.0,1.57,1119.0,10.999999999999998,3.5,4.0,3.0,25.86,True,False,False,False,2,2,3.2932291350130924,0.9989591953619668
23.0,80.9,1.8,178.0,126.0,59.0,1.55,1074.0,10.7,3.5,4.0,3.0,24.97,True,False,False,False,2,2,3.134840080240293,0.840614288067764
25.0,43.1,1.62,196.0,161.0,65.0,1.04,837.0,33.6,1.7999999999999998,4.0,2.0,16.42,False,True,False,False,1,1,-1.1419021599454982,-2.343441524851186
44.0,59.1,1.52,177.0,136.0,56.0,1.58,967.0,18.4,2.7,5.0,3.0,25.58,False,False,False,True,2,2,2.2541648638698315,-1.6370730121476769
26.0,54.0,1.53,175.0,148.0,54.0,1.14,844.0,26.9,1.7,3.0,1.0,23.07,False,False,True,False,1,1,-1.6119957173440396,-1.5451003020289154
54.0,72.3,1.78,163.0,149.0,72.0,1.27,852.0,27.7,1.7999999999999998,2.0,1.0,22.82,False,False,False,False,1,1,-1.6523451938236493,-0.20051550873249782
50.0,51.1,1.98,171.0,126.0,52.0,0.92,574.0,28.0,2.4,2.0,1.0,13.03,True,False,False,True,1,1,-2.32114046929061,0.321401201519452
59.0,89.4,1.72,188.0,152.0,67.0,1.08,813.0,24.5,3.2,3.0,1.0,30.22,True,False,False,True,0,0,-0.5263167063440721,1.6155151834240367
41.0,51.5,1.8,166.0,126.0,60.0,1.09,680.0,26.7,2.1,4.0,2.0,15.9,True,False,True,False,1,1,-0.6224957767350404,-1.2133834932215015
32.0,87.9,1.88,173.0,143.0,64.0,1.52,1195.0,11.599999999999998,3.5,5.0,3.0,24.87,True,False,False,False,2,2,3.770994716336631,0.8800357949372604
